Rider ID,Active Rider Age,Average Partner Rating,Number of Ratings
59708,142,16.08,127
93840,143,22.56,32
41331,136,9.83,259
106191,120,16.5,147
57224,175,23.04,15
102580,116,10,42
104604,107,22.66,103
52831,133,22.85,196
63917,195,10,1
46736,130,10,12
75831,190,23.43,25
34569,126,21.39,275
40250,121,13.92,149
42780,114,22.77,342
48139,175,9.54,30
76130,105,20.38,279
77809,102,18.43,54
61594,114,17.13,50
37559,128,12.75,7
51083,117,11.98,13
73577,62,20.44,97
22448,75,17.57,78
40365,120,19.87,268
69483,154,6.25,2
74750,160,23.36,12
60559,147,10,2
5865,118,21.78,12
15617,144,10,2
91931,157,15.2,61
90528,119,17.93,93
67988,48,21.93,222
108169,107,10,58
77464,80,7.14,87
109595,99,19.91,610
74842,117,18.78,6
9729,106,20.42,106
19136,99,13.8,14
73485,146,10,37
66194,107,10,8
111274,61,16,1
53636,52,24.12,111
56350,160,12.25,20
52785,104,10,79
27163,186,19.14,8
58098,134,16,2
98095,129,10,1
66332,95,22.02,78
85928,98,23.29,237
65780,101,23.64,115
43033,58,12.4,16
98808,128,10,11
112562,64,19.55,152
93771,117,21.76,96
95243,133,22.56,16
75785,103,9.63,419
87400,85,21.96,282
25714,112,10,4
44597,168,20.88,21
87354,51,17.61,40
58811,147,6.25,4
73807,101,16,1
78913,165,1,1
25461,101,21.89,284
74681,134,23.63,36
66033,124,10,4
89815,136,24.84,63
62836,151,19.24,44
51198,65,20.81,297
73163,169,5.8,27
50324,108,19.8,99
101913,105,22.11,35
111918,70,24.12,101
80040,64,16.04,76
92506,58,16.19,53
98394,119,19.55,19
63503,113,15.6,60
61341,59,18.67,130
63526,62,21.48,143
15180,115,17.4,173
27347,172,23.33,179
85054,29,13.91,44
12742,103,15,324
62514,125,10.8,7
86503,155,20.97,19
12328,102,12.61,285
80546,65,21.8,86
104420,95,22.49,31
80017,75,10,3
77947,103,20.67,61
92713,57,21.6,214
91011,139,19.99,17
5957,50,23.08,90
63480,91,17.88,168
62813,51,22.03,397
100165,118,10,2
60674,59,16.38,301
51911,48,21.59,47
77579,66,22.02,151
95565,90,13.6,32
90505,130,15.33,59
105616,82,6.83,44
103707,90,17.47,50
84295,105,24.77,88
57063,54,20.91,51
16445,70,19.84,21
104029,104,24.53,63
7521,109,14.88,7
52877,107,24.07,72
93725,85,23.33,144
68494,63,9.25,133
47242,122,20.66,11
80730,106,22.56,12
52417,110,23.7,38
71277,62,15.03,110
65895,94,19.62,188
55614,91,21.38,96
94576,114,17.36,6
46598,110,20.25,6
74198,106,16.42,9
80845,103,24.26,67
104512,84,21.45,272
74796,89,13.18,111
58213,86,9.33,62
55246,81,24.26,223
103615,94,22.49,66
22908,148,18.09,123
37237,62,14.18,101
72795,92,22.78,244
89700,136,24.85,113
101453,106,18.05,75
46414,52,16.31,87
76176,94,17.88,35
82271,47,17.37,550
63756,34,24.41,140
23644,100,24.33,137
53130,181,20.49,46
89585,136,10,12
95427,102,13.65,36
94530,147,17.98,46
106375,99,24.06,21
98187,124,10,46
45172,53,22.34,110
87009,114,10,1
98049,89,20.61,185
74221,68,18.25,188
103017,86,14.5,278
100280,75,22.33,121
98693,96,10,2
42527,36,21.67,70
68747,37,17.61,15
60835,88,10,1
80155,96,10,1
55867,90,15.66,215
84249,136,16,1
43470,166,22.57,177
32453,110,12.96,5
108146,96,23.53,244
75095,134,24.64,28
57707,32,15.01,34
77648,61,23.26,387
34500,118,23.43,25
64331,123,10,2
55384,45,23.64,197
68103,95,17.59,36
90091,116,13.14,8
59478,63,20.14,317
106099,89,10,33
107985,80,10,16
38525,125,8.49,295
3864,91,24.38,32
90551,105,10,3
82685,68,19.84,33
16054,59,21.7,145
33166,53,9.72,194
57040,155,9.79,86
103546,95,24.53,42
37191,97,16,6
28060,61,24.65,17
57201,85,10,1
64561,85,14.92,110
50186,160,23.3,238
98578,96,16.78,31
20424,97,10,4
33258,77,17.27,124
103960,62,13.55,470
95358,92,10,14
96301,113,18.37,14
59570,51,23.79,103
75578,59,23.03,124
62491,57,10.71,121
91885,104,19.17,41
57017,89,6.61,7
47978,52,20.87,20
106490,73,24.32,256
99659,58,22.08,193
65320,117,23.04,5
87170,54,6.58,208
69966,76,20.55,15
98371,88,19.36,5
96209,47,22.97,111
73945,42,15.13,36
76981,145,15.16,27
85790,86,22.92,33
61295,51,18.82,36
96370,96,10,9
58282,107,10,2
95174,89,10,2
59915,147,19.63,147
91057,59,7.12,192
93863,42,19.43,65
91103,89,20.25,2
105524,85,10,1
101821,95,22.7,17
92391,74,22.28,25
72542,43,13.72,110
90482,38,24.76,83
43378,145,23.57,192
52946,141,21.05,121
77717,25,18.1,115
90873,56,21.48,29
27232,150,21.97,255
93380,62,9.9,412
37030,65,3.24,5
61893,119,20.14,128
100464,89,17.8,125
58075,81,20.12,35
101982,101,24.69,32
103339,69,23.04,15
85813,68,21.25,206
92345,97,7.84,5
42320,57,18.3,41
8786,90,10,1
53544,58,20.7,151
98440,78,22.29,43
56741,105,17.5,314
93495,61,11.5,97
42734,72,10,2
48507,41,19.58,179
80086,111,21.16,5
36961,73,20,53
111941,67,10,5
67183,131,15.14,457
54533,83,24.1,342
62629,82,22.81,137
54809,71,16,6
21781,74,20.75,9
104765,81,10,66
85560,61,21.63,298
93679,61,23.46,32
105731,76,10,46
61387,38,17.98,324
84318,93,10,1
93219,96,10,6
100487,73,10,5
12535,67,22.92,33
101637,64,20.75,18
106398,87,10,1
42343,71,20.67,203
55545,48,8.82,237
91471,81,24.66,29
90022,97,23.26,9
45379,81,22.23,458
33028,30,21.68,251
62077,74,24.39,86
47702,70,22.63,72
96991,53,9.52,102
43148,90,19.21,51
87308,64,13.8,7
52118,97,18.19,4
63388,82,24.29,14
48875,79,5.01,203
46322,125,20.19,132
92414,60,15.86,80
91218,76,17.16,21
44091,92,16.41,333
103362,67,10,33
40342,65,21.81,394
51497,122,20.05,49
61479,97,16.17,13
82432,42,22.25,27
58144,57,10,15
66286,59,22.54,144
51175,114,16,1
82363,60,18.78,6
9384,69,23.1,127
60881,72,16,7
68954,116,8.42,261
12650,120,6.05,190
63204,28,16.31,206
105777,38,24.9,95
38916,106,24.42,17
109020,44,19.92,41
14237,47,20.51,249
57293,37,22.39,257
95726,43,20.94,218
52440,92,20.32,109
45563,75,10,7
36294,68,10,7
50761,87,20.16,304
54395,60,9.77,201
34224,69,17.08,238
48530,42,9.43,457
20240,64,17.4,222
39031,88,22.1,264
57477,31,13.65,38
92759,15,23.65,314
105869,64,24.24,52
101729,79,23.18,27
15042,43,22.19,125
47932,42,21.54,351
73416,83,20.93,233
61755,77,22.27,86
103523,70,16.9,9
85974,35,16.07,371
40319,66,20.25,2
64078,94,16,8
86871,54,10,1
47886,63,24.18,183
103431,76,15.39,26
102074,80,23.9,27
80799,79,16.1,7
61180,30,19,153
100027,68,20.75,9
76360,24,23.46,90
52532,103,14.8,43
91034,61,22.56,8
7820,66,16.39,135
62537,69,12.15,297
91701,31,24.57,108
85882,40,23.4,26
53406,105,14.92,462
11638,50,19.45,109
59846,73,14.38,24
72496,38,23.82,102
58650,99,22.87,121
16951,55,10,1
100786,37,18.97,65
63411,35,10,1
64998,24,18.16,61
106237,62,14.57,308
60697,93,23.96,19
11707,54,21.74,261
90804,64,22.22,14
68540,57,10,8
27692,76,23.94,126
72473,63,23.06,238
59547,44,23.93,306
49956,94,18.97,71
80684,63,18.9,49
105961,73,22.02,13
76429,98,7.72,83
112217,58,10.38,9
55154,26,6.65,100
55016,67,24.12,125
22862,80,9,2
105248,56,21.89,279
96048,37,22.85,184
76314,35,19.57,210
58558,28,23.58,104
112723,45,16.88,214
51635,98,13.77,4
77671,38,16.62,99
61870,69,18.96,97
50071,47,20.86,195
50922,18,24.27,94
90643,44,10,1
62307,37,9.28,379
75946,33,24.38,33
86848,67,22.44,398
97037,32,24.47,163
106168,23,24.1,497
20792,48,10,22
96347,32,19.72,172
63641,47,18.21,389
94829,62,16.19,131
114034,18,16.48,380
7912,72,21.9,25
24564,49,12.76,268
54740,27,24.66,447
6969,39,14.72,180
59524,66,16.87,140
78384,28,22.23,67
64837,17,16.97,88
24311,47,9.75,146
95496,42,12.54,222
93150,76,15.88,102
30015,69,20.64,275
113735,22,9.8,39
23414,31,21.11,202
74727,31,20.23,246
74589,47,13.39,157
30498,36,11.05,422
61410,74,21.78,24
74934,61,16.1,109
31418,80,10,2
100418,52,10,1
54993,31,22.48,79
42504,73,22.17,9
69207,85,18.22,78
52210,52,21.22,470
42389,28,21.6,143
106651,66,6.17,292
64975,19,19.41,434
48231,56,17.13,18
64216,58,16.2,308
110745,52,10,38
92483,23,20.3,10
32430,19,17.41,171
17549,72,18.07,149
85698,55,10,8
108100,59,17.11,405
81627,22,8.88,79
107502,54,5.06,4
101844,45,12.45,152
53981,80,24.23,208
55062,82,14.25,176
76659,51,17.6,131
48300,55,12.07,413
63319,52,21.7,207
38502,64,24.33,199
67091,69,19.45,55
75923,65,20.06,23
65918,33,12.3,61
86204,20,24.46,91
99245,24,18.52,112
77027,73,20.27,19
54786,38,7.41,250
47380,40,23.67,379
71369,47,21.78,3
113390,34,24.14,69
63733,50,10,14
92690,33,17.1,2
51658,36,22.32,349
102879,68,22.56,4
112746,35,10,10
102028,50,18.78,6
107755,70,24.38,16
53751,50,18.5,265
50853,35,18.22,241
103247,41,16.82,283
80960,38,8.1,152
36340,40,9.45,177
68149,52,10,1
91655,36,18.73,312
11891,20,15.15,265
60927,24,22.29,85
18745,31,13.9,156
105340,55,10,43
70702,51,20.36,18
76935,76,20.05,406
59662,43,11.11,9
93518,26,17.92,264
80937,45,8.96,331
75509,44,17.44,83
95634,38,9.37,144
16399,40,21.37,138
8602,60,21.72,73
86457,63,18.03,4
65389,58,20.51,148
97635,46,19.59,150
106444,57,10,21
84824,50,21.56,14
60053,42,20.51,238
57914,77,18.09,215
57385,40,10,9
52693,58,13.44,15
101614,17,15.03,12
98302,42,18.89,26
95036,24,22.59,282
76199,42,20.76,260
47863,35,15.85,130
90574,34,16.83,85
94875,50,22.83,6
78775,66,10,4
62606,52,18.81,26
76866,44,10,10
84433,21,18.73,53
107249,43,16,8
73508,61,22.67,142
110768,37,18.53,11
111159,66,10,1
68218,57,14.93,158
94392,16,18.59,321
74014,24,20.11,200
45701,56,10,12
51773,25,22.34,331
105800,39,24.14,23
113988,24,17.29,132
58351,53,21.91,64
95841,46,21.39,145
70679,67,21.31,394
91172,22,8.24,325
40733,44,13.62,97
109388,54,15.96,90
57316,25,20.83,129
55430,59,14.62,17
87239,32,12.04,210
98233,37,10,3
17457,41,15.8,136
8004,37,22.56,94
5543,41,19.64,103
58121,17,16.55,225
41216,68,20.25,4
99360,51,18.06,8
58604,71,5.17,369
50209,50,22.8,205
56051,46,23.46,72
97497,31,18.33,87
96163,19,20.81,111
99521,48,21.62,40
70012,28,21.14,323
78982,48,21.22,557
88136,24,22.06,249
68655,27,16.42,29
94438,22,15.79,76
30383,53,24.1,391
58903,28,21.57,330
46966,61,7.74,209
19734,34,16.46,405
102971,54,10,12
86572,66,16.16,105
64607,46,23.92,12
37628,30,9.62,125
90758,19,16.14,340
37306,45,6.72,125
55292,69,20,38
51681,56,22.96,19
47840,67,24.35,51
101568,40,21.78,6
56465,61,23.57,300
94737,31,16.35,181
94461,40,18.63,51
67965,64,8.55,59
37927,37,18.76,152
63457,37,10,4
56948,53,20.71,82
51106,52,15.09,123
33212,30,10,1
45540,32,10.47,128
97865,59,10,1
26887,12,15.15,177
51957,30,8.04,23
87561,26,18.47,69
66010,38,10,13
20493,44,10,2
9614,39,10,1
60605,61,21.21,251
98279,30,19.7,162
76797,62,10,1
35213,43,8.2,119
80661,28,20.9,268
53337,14,20.62,125
54878,61,10,2
101499,15,23.75,206
56557,23,14.66,159
59041,63,17.08,285
90850,16,20.4,108
51313,62,18.44,1
13593,39,17.51,142
77970,16,22.22,384
56028,59,19.54,107
33948,35,15.29,387
107203,40,20.71,301
61962,60,18.72,139
62721,19,22.78,86
64262,62,18.37,251
70334,42,17.6,13
102557,27,17.88,238
68563,43,23.94,130
37605,42,22.51,18
69552,18,21.48,112
96232,40,10,1
87193,44,14.06,369
90827,36,1,1
68333,50,22.96,348
68172,58,17.8,216
48737,47,21.55,61
51543,44,9.36,17
4416,46,21.22,280
53314,25,17.54,98
22264,38,23.29,186
95335,24,23.96,171
114080,19,15.17,57
52601,34,16,1
56856,31,21.08,82
91149,18,7.2,140
99636,41,10,12
10373,38,21.9,105
62261,38,15.24,146
48622,24,16.61,26
58880,43,18.1,142
110906,35,16,13
77257,19,15.65,119
97888,23,18.49,211
53935,54,23.31,45
44505,46,14.99,340
59294,52,23.16,84
91816,36,22.2,547
76245,20,23.17,415
54924,48,20.46,64
75118,53,19.91,278
53958,41,23.54,140
40480,36,13.44,3
15594,20,15.39,70
42596,29,14.04,198
103730,31,17.26,63
56649,46,23.31,163
47794,13,22.75,353
24265,18,16.49,294
81006,35,23.3,186
87216,19,19.73,245
57891,23,24.25,75
77487,47,15.03,73
54418,31,15.26,209
97934,28,17.3,279
103477,30,21.39,8
48806,52,22.16,44
100809,20,20.03,200
29762,19,18.11,64
52578,41,21.88,55
81328,32,15.45,174
77878,34,1.56,4
30199,39,10,1
65136,28,20.31,34
86043,27,9,6
80592,33,20.24,135
105754,39,16,4
96853,19,8.35,446
95082,14,6.67,194
4094,11,18.44,126
48783,46,16.41,464
103776,33,14.79,13
53797,30,20.97,198
76590,33,22.56,254
64699,25,13.48,38
101522,34,9.33,249
64768,16,18.83,229
100533,22,10,1
42711,34,16,1
107295,23,8.9,142
64147,37,16.57,161
30314,25,15.43,14
87860,36,9.9,88
106007,32,17.64,10
38272,46,17.59,442
106605,41,9.99,110
64722,35,23.49,13
56074,46,24.87,235
102511,39,21.5,149
98670,37,12.25,2
69322,47,20.73,350
56626,40,22.63,137
65987,14,19.81,196
78729,38,20.43,105
68793,9,19.07,250
54602,45,21.92,196
52302,25,22.43,385
71461,37,22.22,7
32384,42,14.65,213
91080,32,15.84,62
99544,39,19.66,84
53705,27,22.03,78
54901,13,8.64,41
71576,38,16.31,132
77924,14,19.28,209
42021,43,19.46,27
59386,42,16.24,104
73991,19,21.6,139
50140,21,13.53,361
92000,15,24.47,18
76222,14,17.21,30
63710,33,16.94,125
50669,41,16,2
90896,15,18.24,39
42090,12,21.71,210
52624,17,6.94,87
69437,43,22.61,125
60122,39,19.93,253
41124,40,22.03,34
105593,35,21.78,3
55108,16,6.7,65
35811,18,12.38,141
76268,31,21.78,3
59133,27,20.15,518
113620,24,16.38,21
35834,41,13.19,127
97819,39,13.23,106
86526,31,11.75,118
65872,20,4.57,14
65251,35,21.05,102
68908,30,20.9,68
42458,23,10,26
93403,18,14.64,134
111412,27,24.55,22
6831,22,7.26,314
108261,27,12.25,4
107318,24,15.13,416
65228,39,21.56,29
26381,29,10,1
13731,13,21.65,235
77510,14,20.54,114
20125,28,20.57,28
25622,29,19.8,115
67298,37,22.64,252
69759,35,17.91,328
66608,38,19.79,198
87584,12,16.25,6
51267,29,8.76,129
85146,26,19.96,191
57799,34,20.08,318
65964,22,19.87,310
91517,27,19.4,135
94208,36,21.23,56
81673,11,24.57,164
68425,26,10,12
91425,34,17.9,131
98210,23,9,6
61065,29,18.85,238
58029,20,12.95,19
58190,23,17.65,139
90068,32,14.18,13
72197,21,10,3
97244,35,19.35,73
97773,36,17.6,386
100947,13,18.81,123
51819,8,21.28,10
61249,29,7.09,17
91563,10,20.27,103
98348,10,14.65,252
76636,22,20.58,51
82041,23,20.33,37
101867,28,9,2
54027,34,24.46,211
25530,27,10,4
26611,35,15.97,80
59639,17,17.74,306
98256,23,21.26,18
18676,25,10,1
52256,35,20.51,148
101936,22,5.49,172
101154,26,23.45,19
36869,21,24.73,46
87929,23,7.51,288
96830,22,13.45,14
62008,25,17.57,130
62790,29,10,1
77694,26,10,9
53498,23,22.6,24
96002,16,20.43,120
100579,15,18.05,139
67459,30,20.05,110
106513,16,18.07,196
93886,18,22.67,79
106996,16,21.77,60
90942,9,18.82,67
75900,22,17.51,149
66424,22,9.41,34
84272,28,10,1
58259,32,17.36,4
65481,14,4.14,273
13087,15,17.69,214
78936,32,5.46,181
61364,31,14.92,206
52394,25,18.82,121
98601,11,23.29,477
76912,24,9.08,38
48829,22,16.5,107
105846,29,10,4
53452,27,15.39,417
97221,25,14.69,48
103592,24,17.76,14
77786,16,22.67,234
46161,32,22.67,53
60260,27,19.56,123
108997,17,10,1
56718,32,18.29,91
105064,27,23.86,178
67689,21,16.56,198
69529,31,19.04,184
94553,27,10,1
74428,31,9.15,397
87285,20,16.97,247
103270,24,4.41,30
34316,18,10,1
71070,26,21.38,103
56534,14,19.31,337
100993,26,7.86,134
91195,19,8.75,380
68517,13,16.44,204
79994,14,23.49,244
55361,17,20.46,51
104719,22,10,7
114264,12,10,28
104121,23,14.16,178
96922,28,23.75,83
84548,11,19.57,31
114310,8,10,25
50991,16,15.4,125
50830,18,16.4,191
59823,15,20.94,63
100901,22,16.57,179
75302,27,18.63,4
75072,13,21.7,110
74819,25,10,1
84410,18,19.69,195
60444,28,14.08,40
30774,19,22.88,225
54188,26,19.79,202
78614,29,16.57,338
31257,14,22.29,65
30429,18,19.73,35
106076,16,10,2
7866,21,20.79,25
64630,20,23.68,15
21643,18,16,2
79028,23,19.22,123
86963,14,23.93,0
50255,28,22.71,326
100326,23,7.27,170
108330,24,8.91,23
48668,23,9.69,207
38387,25,18.22,158
95979,27,10.62,101
88021,7,17.65,233
41952,26,15.87,61
55085,16,23.57,15
105639,13,24.33,250
29854,14,18.18,122
98946,17,20.78,70
99452,20,21.87,47
102258,18,10,10
70472,21,22.79,242
78292,10,21.21,174
76613,26,22.04,125
82386,11,19.62,171
5589,13,13.74,62
63434,20,19.75,24
64239,14,19.61,246
53153,19,24.61,292
58788,7,10,1
68356,24,24.08,8
28612,23,22.83,9
100119,17,24.42,17
89976,24,18.06,4
66148,19,21.49,171
70656,23,7.96,176
76567,25,18.87,447
100303,18,21.67,59
67551,16,10,7
99107,19,23.77,8
76751,24,19.22,373
95404,19,20.34,128
86825,9,22.7,57
98003,24,21.1,170
78476,14,23.57,18
49128,23,20.91,330
105455,12,19.98,132
49795,25,8.91,32
66562,8,10.02,361
72910,15,16.8,152
8901,7,17.86,254
70081,11,22.13,249
32016,22,18.03,175
56902,14,9.88,314
49979,25,19.85,361
79971,11,21.51,108
65734,18,17.07,471
66539,9,23.17,31
50876,24,17.98,110
102810,19,11.99,168
106697,15,17.2,239
101476,9,20.03,203
97842,22,12.94,102
92575,22,22.03,174
44528,24,12.55,326
78315,14,17.73,297
61318,17,10,1
58443,19,22.83,13
66470,10,16.69,386
104098,17,24.64,141
105478,19,21.78,3
60007,15,23.9,12
84778,8,15.22,238
104581,20,21.32,212
57339,11,17.85,193
64354,22,23.35,113
109457,8,18.5,165
63043,22,19.98,60
99682,20,21.67,44
52371,5,18.22,125
86411,20,21.02,234
90712,10,10,1
61042,14,5.68,266
69368,21,12.25,2
90367,19,8.36,31
67758,17,14.88,7
75647,15,22.65,83
40089,14,19.04,66
97589,18,5.9,351
75693,19,21.49,100
55269,18,20.67,361
57868,18,14.76,13
20746,18,17.43,500
30590,21,20.96,68
47104,18,20.31,231
23529,15,15.72,13
62445,9,18.07,26
102120,7,24.78,153
10051,17,10,1
59754,5,8.16,19
80109,17,17.2,49
25484,10,15.92,142
113712,13,24.01,20
63227,14,17.52,177
106766,14,22.13,172
103914,16,21.2,233
62031,6,23.1,228
53889,16,17.52,217
53199,6,12.12,403
99728,15,17.89,88
64814,8,12.12,192
40825,20,22.97,44
104926,15,16.59,129
60628,20,22.88,48
71415,16,15.27,89
22609,14,17.97,262
48392,12,13,141
104443,5,13.46,267
24610,11,13.76,28
75601,19,20.57,73
58581,16,21.34,64
70978,8,21.11,61
85836,5,19.33,255
56304,7,9.02,306
101890,19,9,1
69069,20,18.23,47
71944,20,14.53,64
109526,6,14.6,9
31671,20,24.08,68
105938,9,16.17,167
98118,11,13.19,45
98716,14,14.54,93
57132,11,18.43,140
95542,13,23.82,120
91126,9,18.24,128
98762,7,19.02,37
56695,7,18.53,390
107180,17,18.37,233
78430,13,13.9,51
58397,5,22.61,349
54487,19,23.55,128
32545,17,22.04,261
100073,13,22.54,210
105225,19,9.92,297
54510,15,16.39,37
66309,10,8.63,30
71185,8,23.49,98
97543,17,14.44,5
54096,17,21.73,159
90735,9,16.87,290
107456,12,19.34,405
58489,18,15.85,253
28106,6,19.22,173
52279,17,10,2
56373,17,18.15,107
73784,5,17.35,210
41653,19,15.32,322
55315,6,19.18,131
100234,15,20.74,444
52969,18,22.63,41
85169,12,9.68,12
17319,13,17.85,132
59110,16,8.72,119
